OrgId,StoryId,PageNo,PageId,PageTitle,EditionId,EditionDate,Headline,Description,ImageUrl,Link,MIndexBase
25901859abb,3980785,2,510810,খবর,1,25/09/2026,জ্বালানিসংকট নিয়ে আলোচনা,"প্রথম পৃষ্ঠার পর
 বাংলাদেশের উদ্বেগের ব...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=25901859abb&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510810&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2594d0c491a,3980786,2,510810,খবর,1,25/09/2026,বাংলাদেশে কার্যালয় খুলতে মেটাকে পররাষ্ট্র প্রতিমন্ত্রীর আমন্ত্রণ,"বাসস, ঢাকা প্রযুক্তিপ্রতিষ্ঠান মেটাকে ব...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2594d0c491a&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510810&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
25995962855,3980797,3,510812,খবর,1,25/09/2026,না থেমে নতুন পথ খুঁজে নিতে হবে,"প্রথম আলো ডেস্ক 
 পরিশ্রম, অধ্যবসায় ও আ...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=25995962855&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510812&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259f4e3e868,3980798,3,510812,খবর,1,25/09/2026,আয় বাড়াতে আরও ৩ ট্রেন যাচ্ছে বেসরকারি খাতে,রেলওয়ের পূর্বাঞ্চল ছয়টি ট্রেন বেসরকারি ...,https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259f4e3e868&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510812&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259d7d5f13b,3980799,3,510812,খবর,1,25/09/2026,"শিশু উন্নয়ন কেন্দ্রে সেই কিশোর, গাড়িতে থাকা অন্যজন গ্রেপ্তার","গাড়িচাপায় নির্মাণশ্রমিক নিহত
 নিজস্ব প্...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259d7d5f13b&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510812&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259ed15d32e,3980800,3,510812,খবর,1,25/09/2026,"শাটডাউন চলছে, ক্যাম্পাসে না এসে যোগদান নতুন উপাচার্যের",চট্টগ্রাম প্রকৌশল বিশ্ববিদ্যালয় সংবাদদা...,https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259ed15d32e&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510812&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
25922b1740d,3980796,3,510812,খবর,1,25/09/2026,ভোটার স্থানান্তরের কাজ  আবার চালু করল ইসি,আবাসস্থল পরিবর্তনের কারণে ভোটার স্থানান...,https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=25922b1740d&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510812&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2593327c920,3980801,3,510812,খবর,1,25/09/2026,"ডেঙ্গুতে আরও ৮ মৃত্যু, হাসপাতালে ১৭৮২","নিজস্ব প্রতিবেদক, ঢাকা দেশে আরও ৮ ডেঙ্গ...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2593327c920&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510812&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259c14219eb,3980795,3,510812,খবর,1,25/09/2026,কেন্দ্রীয় কারাগারের দুই বন্দীর মৃত্যু,কেরানীগঞ্জে অবস্থিত ঢাকা কেন্দ্রীয় কার...,https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259c14219eb&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510812&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259a710012c,3980802,3,510812,খবর,1,25/09/2026,হামের উপসর্গে আরও ৫ মৃত্যু,"নিজস্ব প্রতিবেদক, ঢাকা  দেশে হামের উপসর...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259a710012c&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510812&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2599c95ba56,3980804,4,510813,খবর,1,25/09/2026,শিশুসাহিত্যের নিবেদিতপ্রাণ আখতার হুসেন,"প্রয়াণ বিশেষ প্রতিনিধি, ঢাকা মজার মজার ...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2599c95ba56&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510813&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
25932789aa1,3980805,4,510813,খবর,1,25/09/2026,কাভার্ড ভ্যানচাপায় ২ জেলায় নিহত ২,সড়ক দুর্ঘটনা নরসিংদী ও ফেনীতে এ দুর্ঘটন...,https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=25932789aa1&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510813&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259608ce9f3,3980806,4,510813,খবর,1,25/09/2026,সেই ওসির বিরুদ্ধে রাষ্ট্রদ্রোহ মামলা,"প্রথম পৃষ্ঠার পর
 যোগাযোগমাধ্যমে তাঁর ক...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259608ce9f3&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510813&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2590f877695,3980807,4,510813,খবর,1,25/09/2026,জানুয়ারি থেকে ইউপি নির্বাচন শুরুর কথা ভাবছে কমিশন,"বিশেষ প্রতিবেদক, ঢাকা আগামী নভেম্বর ও ড...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2590f877695&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510813&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259cf4686cb,3980808,5,510814,অভিমত – বিশ্লেষণ,1,25/09/2026,ইসলামি আন্দোলন নিয়ে কিছু অনালোচিত প্রশ্ন,"ব্যারিস্টার রাজ্জাকের বই
 প্রয়াত ব্যারি...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259cf4686cb&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510814&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2591f30c7e0,3980809,5,510814,অভিমত – বিশ্লেষণ,1,25/09/2026,ফুসফুস নিয়ে কিছু প্রশ্ন ও উত্তর,"অধ্যাপক ডা. মো. জাকির হোসেন সরকার, সভাপ...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2591f30c7e0&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510814&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2596276766d,3980810,5,510814,অভিমত – বিশ্লেষণ,1,25/09/2026,৪ সেকেন্ডে রুবিকস কিউব মিলিয়ে শিশুর বিশ্ব রেকর্ড,"দ্য গার্ডিয়ান
 ছয়টি তলের রুবিকস কিউব। আ...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2596276766d&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510814&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2594348e81e,3980788,6,510811,দেশ – ঢাকার চারপাশ,1,25/09/2026,দেড় বছরে এক মাদ্রাসার ১৬ ছাত্রীর বাল্যবিবাহ,"প্রতিনিধি, সাতক্ষীরা সাতক্ষীরা সদর উপজে...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2594348e81e&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510811&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259362dbd65,3980789,6,510811,দেশ – ঢাকার চারপাশ,1,25/09/2026,বাসভাড়া ৫৫ টাকা নির্ধারণের দাবি,"প্রতিনিধি, নারায়ণগঞ্জ ঢাকা-নারায়ণগঞ্জ র...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259362dbd65&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510811&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259d399f71b,3980790,6,510811,দেশ – ঢাকার চারপাশ,1,25/09/2026,"ইলিশ ধরে ঋণ শোধ হচ্ছে না, দুশ্চিন্তায় জেলেরা","নেয়ামতউল্যাহ, ভোলা
 ইলিশ ধরার মৌসুম শেষ...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259d399f71b&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510811&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259c162a45d,3980792,6,510811,দেশ – ঢাকার চারপাশ,1,25/09/2026,সাগরে ৫ দিন ভেসে থাকার পর ফিরলেন ১৮ জেলে,"প্রতিনিধি, পটুয়াখালী    মাছ ধরার ট্রলার...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259c162a45d&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510811&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
