OrgId,StoryId,PageNo,PageId,PageTitle,EditionId,EditionDate,MShareArticle,MIndexBase
162fcd00b24,3922197,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162fcd00b24&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16205728cb0,3922198,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16205728cb0&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1625832e4d9,3922199,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1625832e4d9&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1624ec421f6,3922190,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1624ec421f6&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162024e03c8,3922191,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162024e03c8&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162f5b0d59c,3922202,3,497980,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162f5b0d59c&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497980&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162d9e1a796,3922203,3,497980,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162d9e1a796&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497980&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1627f429a0a,3922204,3,497980,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1627f429a0a&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497980&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1627af3592f,3922201,3,497980,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1627af3592f&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497980&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162e5de52e9,3922200,3,497980,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162e5de52e9&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497980&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
